sampled,museum,catalog_number,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication
TRUE,UCMP,153252,,Bison,Bison,,McKittrick,,,,FALSE,0,
TRUE,UCMP,153253,,Bison,Bison,,McKittrick,,,,FALSE,0,
TRUE,UCMP,153254,,Bison,Bison,,McKittrick,,,,FALSE,0,
TRUE,UCMP,153256,,Bison,Bison,,McKittrick,,,,FALSE,0,
TRUE,UCMP,271241,,Bison,Bison,,McKittrick,,,,FALSE,0,
TRUE,UCMP,271240,,Camelops,Camelops,,McKittrick,,,,FALSE,0,
TRUE,UCMP,153246,,Equus conversidens,Equus, conversidens,McKittrick,,,,FALSE,0,
TRUE,UCMP,153247,,Equus conversidens,Equus, conversidens,McKittrick,,,,FALSE,0,
TRUE,UCMP,153250,,Equus conversidens,Equus, conversidens,McKittrick,,,,FALSE,0,
TRUE,UCMP,27118,,Euceratherium,Euceratherium,,McKittrick,,,,FALSE,0,
TRUE,UCMP,271243,,Euceratherium,Euceratherium,,McKittrick,,,,FALSE,0,
TRUE,UCMP,33120,,Mammut,Mammut,,McKittrick,,,,FALSE,0,
TRUE,UCMP,271246,,Odocoileus,Odocoileus,,McKittrick,,,,FALSE,0,
TRUE,UCMP,271247,,Odocoileus,Odocoileus,,McKittrick,,,,FALSE,0,
TRUE,UCMP,271245,,Antilocapridae,,,McKittrick,,,,FALSE,0,
TRUE,UCMP,154250,,Gopherus,Gopherus,,McKittrick,,,,FALSE,0,
TRUE,UCMP,158281,,Camelops,Camelops,,Rancho La Brea,,,,FALSE,0,
TRUE,UCMP,271228,,Camelops,Camelops,,Rancho La Brea,,,,FALSE,0,
TRUE,UCMP,271229,,Camelops,Camelops,,Rancho La Brea,,,,FALSE,0,
TRUE,UCMP,271234,,Camelops,Camelops,,Rancho La Brea,,,,FALSE,0,
TRUE,UCMP,259517,,Equus,Equus,,Rancho La Brea,,,,FALSE,0,
TRUE,UCMP,153257,,Cervus elaphus ,Cervus,elaphus,McKittrick,,,,TRUE,0,[@fox-dobbs2014]
TRUE,UCMP,271242,261772,Euceratherium,Euceratherium,,McKittrick,,,,TRUE,0,
TRUE,UCMP,154372,219233,Gopherus,Gopherus,,McKittrick,,,,TRUE,0,
TRUE,UCMP,154411,219234,Gopherus,Gopherus,,McKittrick,,,,TRUE,0,
TRUE,UCMP,271244,261773,Artodactyla,,,McKittrick,,,,TRUE,0,
TRUE,UCMP,153245,,Arctodus simus ,Arctodus,simus,McKittrick,,,,TRUE,0,[@fox-dobbs2014]
TRUE,UCMP,153241,,Panthera atrox ,Panthera,atrox,McKittrick,,,,TRUE,0,[@fox-dobbs2014]
TRUE,UCMP,149255,,Teratornis merriami ,Teratornis,merriami ,McKittrick,,,,TRUE,0,[@fox-dobbs2006]
TRUE,UCMP,149256,,Teratornis merriami ,Teratornis,merriami ,McKittrick,,,,TRUE,0,[@fox-dobbs2006]
TRUE,UCMP,149257,,Teratornis merriami ,Teratornis,merriami ,McKittrick,,,,TRUE,0,[@fox-dobbs2006]
TRUE,UCMP,149258,,Teratornis merriami ,Teratornis,merriami ,McKittrick,,,,TRUE,0,[@fox-dobbs2006]
TRUE,UCMP,271213,264797,Aenocyon,Aenocyon,dirus,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,271214,264798,Aenocyon,Aenocyon,dirus,Rancho La Brea,,,,TRUE,0,
TRUE,UCMP,271215,264799,Aenocyon,Aenocyon,dirus,Rancho La Brea,,,,TRUE,0,
