catalog_number,museum,UCIAMS_number,taxon,genus,species,element,locality,weathering_score,collagen_present,data_type,yield,N_wt_percent,C_wt_percent,C_N_atomic,publication
239801,UCMP,,Perissodactyla,Equus,,Phalanx,"G-1 - 6ft, 5/28/21",,,,,,,,
238929,UCMP,,Carnivora,Aenocyon,dirus,"Radius, left",G-3-(-1),,,,,,,,
240678,UCMP,,Perissodactyla,Equus,,Phalanx,Loc 5 Sec 12,,,,,,,,
241681,UCMP,,Accipitriformes,Aquila,chrysaetos,Humerus frag,McKittrick F.4.3,,,,,,,,
299883,UCMP,,Ciconiiformes,Jabiru,mycteria,left distal tibiotarsus,F2 4 ft,,,,,,,,
286964,UCMP,,Accipitriformes,Aquila,,Tibiotarsus frag,,,,,,,,,
286822,UCMP,,Accipitriformes,Aquila,,Humerus frag,"Loc. 5, Sec. 12",,,,,,,,
248041,UCMP,,Perissodactyla,Equus,,MC III,Loc 5 Lot 215,,,,,,,,
234828,UCMP,,Artiodactyla,Bison,,bone fragment,,,,,,,,,
246988,UCMP,,Carnivora,,,"Metapodial, distal end",Loc 5 Sec 11,,,,,,,,
241680,UCMP,,Accipitriformes,Aquila,chrysaetos,Humerus frag,Loc 5 Sec 13 No. 340 Near 339,,,,,,,,
272130,UCMP,,Lagomorpha,Sylvilagus,,Femur,Loc 4 Lot 12,,,,,,,,
299879,UCMP,,,,,rib head,,,,,,,,,
246991,UCMP,,Carnivora,,,"Metapodial, distal end",Loc 4 Lot 12,,,,,,,,
299880,UCMP,,Carnivora,Panthera,atrox,right maxilla frag with canine root,No 5 No 117,,,,,,,,
246232,UCMP,,Artiodactyla,Hemiauchenia,macrocephala,Proximal phalanx,Loc 5 Sec 13,,,,,,,,
299876,UCMP,,,,,distal humerus+shaft,,,,,,,,,
286823,UCMP,,Accipitriformes,Aquila,,Ulna frag,Loc 5 Sec 13 no. 340 near 338,,,,,,,,
35188,UCMP,,Lagomorpha,Sylvilagus,,Femur,F4-3,,,,,,,,
239109,UCMP,,Artiodactyla,Hemiauchenia,,"Radius, left, distal end",Loc 5 No 3 e5 Sec 13,,,,,,,,
236970,UCMP,,Perissodactyla,Equus,,distal tibia,Loc. 5 - Sec. 13 No 308 Loose Bones,,,,,,,,
238993,UCMP,,Artiodactyla,Cervus,elaphus,"Innominate, right",Loc 5 Lot 13,,,,,,,,
234775,UCMP,,Artiodactyla,,,scapula fragment,G3+1 1/2,,,,,,,,
240025,UCMP,,Artiodactyla,Hemiauchenia,,distal tibia,Loc 5 Sec 122,,,,,,,,
259670,UCMP,,Artiodactyla,Hemiauchenia,,metapodial lacking distal epiphysis,G/4/3,,,,,,,,
239128,UCMP,,Artiodactyla,Hemiauchenia,,"Humerus, left",G-2/-3 1/2,,,,,,,,
240513,UCMP,,Artiodactyla,Hemiauchenia,,phalanx,Loc 1 No 9,,,,,,,,
239180,UCMP,,Artiodactyla,Hemiauchenia,,"Radius, right",Loc 5 Lot 122,,,,,,,,
259675,UCMP,,,,,femur,Loc 5 Sec 12,,,,,,,,
235029,UCMP,,Artiodactyla,Hemiauchenia,,Phalanx,Loc 5 No 3 e5 Sec 13,,,,,,,,
236968,UCMP,,Perissodactyla,Equus,,"Humerus, diaphysis",509 Loc 5 Sec 17,,,,,,,,
240556,UCMP,,Artiodactyla,Bison,,Phalanx,G4-3,,,,,,,,
240130,UCMP,,Perissodactyla,Equus,,Calcaneus,Loc 5 Sec 13 Lot 304,,,,,,,,
248404,UCMP,,Carnivora,,,left tibia,G/4/3,,,,,,,,
239129,UCMP,,Artiodactyla,Hemiauchenia,,"Humerus, right",G4-2,,,,,,,,
239095,UCMP,,Perissodactyla,Equus,,"Scapula, right, fragment",F5/0,,,,,,,,
239126,UCMP,,Artiodactyla,Hemiauchenia,,"Humerus, left, distal end",7-4 or F-4,,,,,,,,
237563,UCMP,,Perissodactyla,Equus,,proximal scapula,Loc 5 Sec 12,,,,,,,,
246193,UCMP,,Artiodactyla,Hemiauchenia,,Humerus,Loc 5 Lot 192,,,,,,,,
234686,UCMP,,Artiodactyla,Hemiauchenia,,phalanx,"G4,-2.",,,,,,,,
246895,UCMP,,Carnivora,,,"Ulna, left, proximal fragment",,,,,,,,,
246993,UCMP,,Carnivora,,,"Metapodial, distal end",Loc 5 Sec 13 Lot 430,,,,,,,,
299878,UCMP,,Artiodactyla,Hemiauchenia,,metapodial and associated podials,Loc 4 No. 24,,,,,,,,
238569,UCMP,,Carnivora,Taxidea,taxus,"Femur, left",Loc 5 Sec 13,,,,,,,,
299877,UCMP,,,,,proximal humerus,Loc 4 Lot 12,,,,,,,,
299881,UCMP,,Carnivora,,,metapodial frag,G4-2,,,,,,,,
