catalog_number,museum,class,ordr,family,genus,species,name,element,remarks,field_num,loc_ID_num
153262,UCMP,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,,,left dentary frag,,,-1370
153263,UCMP,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,,,right dentary frag,,,-1370
153264,UCMP,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,,,right dentary frag,,,-1370
235262,UCMP,Mammalia,Carnivora,Mustelidae,Taxidea,,,left dentary w p4-m1 and assoc. partial skeleton,almost certainly partial skeleton noted by Schultz 1938 as being prepared at UCMP,Loc 5 Sec 11,-7139
235263,UCMP,Mammalia,Carnivora,Mustelidae,Taxidea,,,skull and lower jaws,,Loc 15 cut No 249 skull,-7139
235606,UCMP,Aves,Falconiformes,,,,,Coracoid,,Loc 1 Lot 6,-1370
236325,UCMP,Mammalia,Artiodactyla,Camelidae,,,,Humerus frag,,,-7139
236363,UCMP,Mammalia,Artiodactyla,Camelidae,,,,intermediate phalanx,,Loc 5 Lot 119,-7139
240027,UCMP,Mammalia,Artiodactyla,Bovidae,Bison,,,Humerus,,,-7139
241629,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,,Femur frag,,Loc 5 No 146,-7139
241630,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,,Femur frag,,Loc 1 Lot 14,-7139
241645,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,,Femur frag,,Loc 5 Sec 13,-7139
241646,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,,Femur frag,,Loc 5 Sec 12,-7139
241663,UCMP,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,,Femur frag,,Loc 4 Lot 84,-7139
242538,UCMP,Mammalia,Lagomorpha,Leporidae,,,,Juvenile femur frag,,,-1370
242539,UCMP,Mammalia,Lagomorpha,Leporidae,Lepus,,,Juvenile humerus,,,-1370
242564,UCMP,Aves,,,,,,Femur frag,,,-1370
242755,UCMP,Aves,,,,,,Femur frag,,,-1370
246025,UCMP,Mammalia,Carnivora,Felidae,Smilodon,,,"Ulna, left",,,-7139
246290,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,,"Femur, left, proximal end",,,-7139
246502,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,,"Metatarsal II, left",,No 5 - 210,-7139
246946,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,,"Radius, right, proximal end",,,-1370
246950,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,,"Metacarpal III, left",,,-1370
246955,UCMP,Mammalia,Carnivora,Felidae,Panthera,atrox,,"Metatarsal IV, right",,,-1370
263474,UCMP,Aves,,,,,,Bone Frag.,,Loc 1 Lot 6,-1370
264453,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,,,Humerus,,F4-3,-4096
274850,UCMP,Aves,Ciconiiformes,Ciconiidae,Jabiru,mycteria,,Ulna frag,,F2-4 ft,-4096
