sampled,museum,catalog_number,genus,locality,collagen_present,weathering_score,tar_penetration,matrix_present,glue_present,plaster_present,prep_marks,interior_tar,breakage,age
TRUE,UCMP,154372,Gopherus,McKittrick,TRUE,0,1,0,0,0,0,0,0,adult
TRUE,UCMP,154411,Gopherus,McKittrick,TRUE,0,1,0,0,0,1,0,1,adult
TRUE,UCMP,271240,Camelops,McKittrick,FALSE,0,1,1,0,0,0,1,1,adult
TRUE,UCMP,271213,Aenocyon,Rancho La Brea,TRUE,0,1,1,0,0,0,0,1,adult
TRUE,UCMP,271214,Aenocyon,Rancho La Brea,TRUE,0,1,0,0,0,0,0,1,adult
TRUE,UCMP,271215,Aenocyon,Rancho La Brea,TRUE,0,1,0,0,0,0,0,1,adult
TRUE,UCMP,271216,Aenocyon,Rancho La Brea,TRUE,0,1,0,0,0,0,0,1,adult
TRUE,UCMP,271217,Aenocyon,Rancho La Brea,TRUE,0,1,1,0,0,0,0,1,adult
TRUE,UCMP,271219,Aenocyon,Rancho La Brea,TRUE,0,1,0,0,0,0,0,1,adult
TRUE,UCMP,271220,Aenocyon,Rancho La Brea,TRUE,0,1,1,0,0,0,0,1,adult
TRUE,UCMP,271221,Aenocyon,Rancho La Brea,TRUE,0,1,1,0,0,0,0,1,adult
TRUE,UCMP,271222,Aenocyon,Rancho La Brea,TRUE,0,1,0,0,0,0,0,1,adult
TRUE,UCMP,271223,Aenocyon,Rancho La Brea,TRUE,0,1,1,0,0,0,0,1,adult
TRUE,UCMP,271224,Aenocyon,Rancho La Brea,TRUE,0,1,0,0,0,0,0,1,adult
TRUE,UCMP,158263,Camelops,Rancho La Brea,TRUE,0,1,0,0,0,0,0,1,adult
TRUE,UCMP,158276,Camelops,Rancho La Brea,TRUE,0,1,1,0,0,0,0,1,juvinile
TRUE,UCMP,158281,Camelops,Rancho La Brea,FALSE,0,1,1,0,0,0,0,1,adult
TRUE,UCMP,271231,Camelops,Rancho La Brea,TRUE,0,1,1,0,0,0,1,1,adult
TRUE,UCMP,259507,Canis,Rancho La Brea,TRUE,0,1,1,0,0,0,0,0,adult
