file_name,WAMPI,PCI,LPI,catalog_number,museum,class,ordr,family,genus,species,name,element,remarks,field_num,loc_ID_num
UCMP_153248.0,0.3247114764049171,3.1817081594700034,1.1886598288878283,153248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_153262.0,0.5196185838169799,3.1976549199607387,1.2042507170889127,153262,UCMP,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,NA,NA,left dentary frag,NA,NA,-1370
UCMP_153263.0,0.5229934074414465,3.0990368458662254,1.0274973755777406,153263,UCMP,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,NA,NA,right dentary frag,NA,NA,-1370
UCMP_153264.0,0.31779296715529826,3.0538948135886552,1.4628925429671078,153264,UCMP,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,NA,NA,right dentary frag,NA,NA,-1370
UCMP_194938.0,0.6991079609626502,3.02575378155238,1.4699240038267725,194938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234070.0,0.4514294277886857,3.220280891388145,0.9682095738171242,234070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234071.0,0.36654968551347844,3.1318747793357864,1.435667091823811,234071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234072.0,0.3382639597275927,3.28104462045617,1.1049431481377332,234072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234073.0,0.3328546637460339,3.1129059261626306,1.0835500169609167,234073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234121.0,0.5811769789713064,3.1625588662843054,1.7654590784949642,234121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234686.0,0.8641991305214052,3.0460515357421194,1.9249320861358006,234686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234733.0,0.28258938617365525,3.2389082191424814,0.8630330597773647,234733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234775.0,0.3354566668760731,3.1175413015258977,2.029663428053161,234775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_234828.0,0.27334613711137923,3.1918668461751243,1.0378725340434893,234828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_235029.0,0.6249492254960121,3.1446013138214663,1.7199024147116506,235029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_235187.0,0.5526605572074847,2.6761022044286924,0.7874050822016684,235187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_235204.0,0.7697132132141884,3.144059879306325,1.4549263701428983,235204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_235213.0,0.38054779592632554,3.2254760007620757,1.0968402991905108,235213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_235262.0,0.37004532578808247,3.100658697564582,1.4445046004324185,235262,UCMP,Mammalia,Carnivora,Mustelidae,Taxidea,NA,NA,left dentary w p4-m1 and assoc. partial skeleton,almost certainly partial skeleton noted by Schultz 1938 as being prepared at UCMP,Loc 5 Sec 11,-7139
UCMP_235263.0,0.3059442098355489,3.109086433674602,1.1117915950169996,235263,UCMP,Mammalia,Carnivora,Mustelidae,Taxidea,NA,NA,skull and lower jaws,NA,Loc 15 cut No 249 skull,-7139
UCMP_235321.0,0.6343076337979636,3.0981831330627854,1.3452107859354292,235321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_235322.0,0.5437877863513233,2.9150698808011355,1.1407787513320113,235322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_235348.0,0.3585244727898382,3.28108693149023,0.7123015391983014,235348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_235606.0,0.4970517936641521,3.1875740795990093,1.2878479862449,235606,UCMP,Aves,Falconiformes,NA,NA,NA,NA,Coracoid,NA,Loc 1 Lot 6,-1370
UCMP_236094.0,0.6947305408732831,3.2344476096110797,1.5730882357023883,236094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_236095.0,0.5971077228665748,3.2384205214684245,1.2927666470497963,236095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_236325.0,0.3343880945113021,3.16231932447292,0.7582540912073973,236325,UCMP,Mammalia,Artiodactyla,Camelidae,NA,NA,NA,Humerus frag,NA,NA,-7139
UCMP_236363.0,0.7512162069537227,2.9920042361223826,1.3248683326768271,236363,UCMP,Mammalia,Artiodactyla,Camelidae,NA,NA,NA,intermediate phalanx,NA,Loc 5 Lot 119,-7139
UCMP_236968.0,0.6519986599327403,2.9597084575542323,1.4435320963213123,236968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_236970.0,0.38733565265974845,3.191976585543079,0.8893781616926502,236970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_237050.0,0.7263604013685167,3.1775796994990344,1.0590022227392029,237050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_237562.0,0.30390115687066055,3.3346905224789554,1.5600125891844008,237562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_237563.0,0.38502370494358684,3.100990749634923,0.9853224883387034,237563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_237893.0,0.34509214456259973,3.2706507577338506,0.887290651770678,237893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_237894.0,0.8210685995019928,3.1310157616080767,0.9470115339249237,237894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_237896.0,0.3142811001980846,3.1803669924048457,0.8924296088658901,237896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_237897.0,0.27145296156207777,3.262813137969123,0.6252428130566354,237897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_238569.0,0.3271637432381794,3.2096824960519648,0.7286007349980158,238569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_238929.0,0.45363870155487035,3.138361675655545,0.9903701045577381,238929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_238993.0,0.47874109296860445,3.110376578057077,1.1908641302980119,238993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_239095.0,0.3886332547792619,3.0361361880162963,1.0468567436195542,239095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_239109.0,0.3980322144054238,3.110271334769608,0.9262925698914553,239109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_239126.0,0.40143557217374415,2.8355840508711476,1.3038758519297207,239126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_239128.0,0.31120624091447435,3.153919689167001,1.0303528214387712,239128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_239129.0,0.3554890416011742,3.2054926751602344,1.1312300128868618,239129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
