file_name,WAMPI,PCI,LPI,catalog_number
UCMP_249109.0,0.682,3.192,3.213,249109
UCMP_249110.0,0.808,2.581,2.341,249110
UCMP_249117.0,0.945,2.388,2.070,249117
UCMP_249125.0,0.789,3.086,1.415,249125
UCMP_249128.0,0.463,3.325,2.254,249128
UCMP_249140.0,0.935,2.391,1.649,249140
UCMP_249148.0,0.709,2.811,1.768,249148
UCMP_249167.0,1.731,2.810,8.074,249167
UCMP_249169.0,0.795,3.118,1.802,249169
UCMP_249172.0,0.929,2.278,1.561,249172
UCMP_249180.0,0.878,2.714,2.323,249180
UCMP_249202.0,0.908,3.290,1.519,249202
UCMP_249213.0,0.787,2.465,1.994,249213
UCMP_249251.0,1.055,2.105,1.983,249251
UCMP_249260.0,0.679,3.018,0.930,249260
UCMP_249269.0,0.768,2.561,1.963,249269
UCMP_249444.0,0.946,2.380,2.465,249444
UCMP_249604.0,0.690,3.162,3.363,249604
